status,local_path,original,timestamp,mimetype,bytes,sha256,archive_url,error
cached,angeun-lada-jejak-sejarah-khasiat-dan-kelezatan-dalam-kuliner-nusantara/index.html,https://bikinlaper.com/angeun-lada-jejak-sejarah-khasiat-dan-kelezatan-dalam-kuliner-nusantara/,20250807032516,text/html,163496,0a33ead6c1dd2aa6bd8ef354d6c38a6fee5e416b50a2477344426f9390a862f1,https://web.archive.org/web/20250807032516id_/https://bikinlaper.com/angeun-lada-jejak-sejarah-khasiat-dan-kelezatan-dalam-kuliner-nusantara/,
cached,angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/angkringan-likman/index.html,https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/angkringan-likman/,20251007061130,text/html,88198,86519949d227b99ef41f63625f2bef3ae884e000fe5daf13c19f1533e88566f3,https://web.archive.org/web/20251007061130id_/https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/angkringan-likman/,
cached,angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/feed.xml,https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/feed/,20231226141424,application/rss+xml,1093,f4923a31336ade5ed862d0d98d3b6859f6224d42ea645ef092bf412ebc6dfc77,https://web.archive.org/web/20231226141424id_/https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/feed/,
cached,angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/index.html,https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/,20251009144835,text/html,163076,84ff72ea07d88ada9ce51a1eb5a779e0c596ff690f7bb7735e490daad9b8ba53,https://web.archive.org/web/20251009144835id_/https://bikinlaper.com/angkringan-lik-man-mengungkap-keunikan-warung-kopi-khas-yogyakarta-yang-melegenda/,
cached,apa-itu-franchise-warteg-orens-bahari/index.html,https://bikinlaper.com/apa-itu-franchise-warteg-orens-bahari/,20250807034019,text/html,158874,cc2d421ecbc4ee317e2d636024ebc8a4e4051e42b34bd87124abd79ca367bae7,https://web.archive.org/web/20250807034019id_/https://bikinlaper.com/apa-itu-franchise-warteg-orens-bahari/,
cached,apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/feed.xml,https://bikinlaper.com/apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/feed/,20231211145739,application/rss+xml,1081,dcfd817cc4b45adb0375fb59bd8409a0b020dc981b599225babdd4baeb16bbb8,https://web.archive.org/web/20231211145739id_/https://bikinlaper.com/apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/feed/,
cached,apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/index.html,https://bikinlaper.com/apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/,20251007061951,text/html,164661,77d047a1c3437053f3d5d3892280c31a0d338bb852fee9ac49f0bc8dcc98478c,https://web.archive.org/web/20251007061951id_/https://bikinlaper.com/apa-keuntungan-membeli-franchise-exploring-the-benefits-of-franchise-ownership/,
cached,apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/feed.xml,https://bikinlaper.com/apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/feed/,20231226150825,application/rss+xml,1081,38bf71d2a5061ce84e1101688b4849d764ae70440ff1b43f862b7e9dc55fc2df,https://web.archive.org/web/20231226150825id_/https://bikinlaper.com/apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/feed/,
cached,apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/index.html,https://bikinlaper.com/apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/,20250807034147,text/html,151236,edb7dd3e175914a6b4ffec2436c2216d25e0b51300b8a58b2df99ee5053d6537,https://web.archive.org/web/20250807034147id_/https://bikinlaper.com/apakah-bisnis-warteg-bisa-untung-panduan-lengkap-untuk-sukses-di-dunia-kuliner/,
cached,asal-usul-sejarah-bolu-meranti-dan-proses-pembuatanya/index.html,https://bikinlaper.com/asal-usul-sejarah-bolu-meranti-dan-proses-pembuatanya/,20250613140643,text/html,150586,e51595840f6c2bb80cdb8a97f92b8dd8b173769c65b02446e42fac7617d1a4d5,https://web.archive.org/web/20250613140643id_/https://bikinlaper.com/asal-usul-sejarah-bolu-meranti-dan-proses-pembuatanya/,
